age_band,Female,Male,Unknown
18-21,20,6,40
22-25,133,43,1
26-30,299,90,2
31-35,348,85,1
36-40,366,114,3
41-45,348,112,1
45-50,426,135,3
51-55,351,104,2
55-60,359,110,4
61-65,278,103,2
65-70,175,79,0
71+,111,61,0
Unknown,14,6,0
